Date : 2026-03-14 19:02:16
Directory : f:\SocialApp
Total : 181 files,  12282 codes, 167 comments, 1351 blanks, all 13800 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| f:\SocialApp\src\services\supabase.js                                | JavaScript     |          9 |          1 |          4 |         14 |
| f:\SocialApp\src\styles\GolobalStyles.js                             | JavaScript     |        203 |          0 |          3 |        206 |
| f:\SocialApp\src\styles\index.css                                    | PostCSS        |          8 |          0 |          2 |         10 |
| f:\SocialApp\src\ui\AppLayout.jsx                                    | JavaScript JSX |         82 |          0 |         12 |         94 |
| f:\SocialApp\src\ui\Avatar.jsx                                       | JavaScript JSX |         30 |          0 |          7 |         37 |
| f:\SocialApp\src\ui\Badge.jsx                                        | JavaScript JSX |         31 |          0 |          5 |         36 |
| f:\SocialApp\src\ui\Button.jsx                                       | JavaScript JSX |        100 |          0 |          6 |        106 |
| f:\SocialApp\src\ui\ButtonIcon.jsx                                   | JavaScript JSX |         53 |          0 |          6 |         59 |
| f:\SocialApp\src\ui\DeletePopup.jsx                                  | JavaScript JSX |         50 |          0 |          8 |         58 |
| f:\SocialApp\src\ui\ErrorBoundary.jsx                                | JavaScript JSX |         18 |          0 |          5 |         23 |
| f:\SocialApp\src\ui\ErrorFallBack.jsx                                | JavaScript JSX |         52 |          0 |          8 |         60 |
| f:\SocialApp\src\ui\FakeAvatar.jsx                                   | JavaScript JSX |         21 |          0 |          4 |         25 |
| f:\SocialApp\src\ui\Form.jsx                                         | JavaScript JSX |         28 |          0 |          3 |         31 |
| f:\SocialApp\src\ui\FormHeader.jsx                                   | JavaScript JSX |         52 |          0 |          7 |         59 |
| f:\SocialApp\src\ui\FormRow.jsx                                      | JavaScript JSX |          0 |          0 |          1 |          1 |
| f:\SocialApp\src\ui\FormTail.jsx                                     | JavaScript JSX |         40 |          0 |          7 |         47 |
| f:\SocialApp\src\ui\Header.jsx                                       | JavaScript JSX |        105 |          1 |         13 |        119 |
| f:\SocialApp\src\ui\Input.jsx                                        | JavaScript JSX |         28 |          0 |          3 |         31 |
| f:\SocialApp\src\ui\Label.jsx                                        | JavaScript JSX |         29 |          0 |          3 |         32 |
| f:\SocialApp\src\ui\ListItem.jsx                                     | JavaScript JSX |         10 |          0 |          3 |         13 |
| f:\SocialApp\src\ui\Logo.jsx                                         | JavaScript JSX |         31 |          0 |          4 |         35 |
| f:\SocialApp\src\ui\Menu.jsx                                         | JavaScript JSX |         33 |          0 |          4 |         37 |
| f:\SocialApp\src\ui\MenuItem.jsx                                     | JavaScript JSX |         27 |          0 |          4 |         31 |
| f:\SocialApp\src\ui\MiniSpinner.jsx                                  | JavaScript JSX |          5 |          0 |          3 |          8 |
| f:\SocialApp\src\ui\Modal.jsx                                        | JavaScript JSX |        119 |          0 |         11 |        130 |
| f:\SocialApp\src\ui\NavItem.jsx                                      | JavaScript JSX |          0 |          0 |          1 |          1 |
| f:\SocialApp\src\ui\NotificationCount.jsx                            | JavaScript JSX |         14 |          0 |          4 |         18 |
| f:\SocialApp\src\ui\OnlineSign.jsx                                   | JavaScript JSX |         15 |          0 |          2 |         17 |
| f:\SocialApp\src\ui\PostModal.jsx                                    | JavaScript JSX |        168 |          0 |         19 |        187 |
| f:\SocialApp\src\ui\ProtectedRoutes.jsx                              | JavaScript JSX |         19 |          0 |          6 |         25 |
| f:\SocialApp\src\ui\Row.jsx                                          | JavaScript JSX |         11 |          0 |          3 |         14 |
| f:\SocialApp\src\ui\ScrollBtn.jsx                                    | JavaScript JSX |         24 |          0 |          2 |         26 |
| f:\SocialApp\src\ui\SearchInput.jsx                                  | JavaScript JSX |         52 |          1 |          9 |         62 |
| f:\SocialApp\src\ui\Sidebar.jsx                                      | JavaScript JSX |         75 |          0 |          6 |         81 |
| f:\SocialApp\src\ui\Spinner.jsx                                      | JavaScript JSX |         24 |          0 |          4 |         28 |
| f:\SocialApp\src\ui\ThemeToggle.jsx                                  | JavaScript JSX |         44 |          0 |          5 |         49 |
| f:\SocialApp\src\ui\UserSidebarInfo.jsx                              | JavaScript JSX |         39 |          0 |          5 |         44 |
| f:\SocialApp\src\utils\contstants.js                                 | JavaScript     |          0 |          0 |          1 |          1 |
| f:\SocialApp\src\utils\helpers.js                                    | JavaScript     |         39 |          0 |          7 |         46 |
| f:\SocialApp\src\utils\parseText.jsx                                 | JavaScript JSX |         11 |          0 |          3 |         14 |
| f:\SocialApp\vite.config.js                                          | JavaScript     |         18 |          1 |          2 |         21 |
| Total                                                                |                |     12,282 |        167 |      1,351 |     13,800 |
+----------------------------------------------------------------------+----------------+------------+------------+------------+------------+
