"filename", "language", "JavaScript", "JavaScript JSX", "XML", "JSON", "Markdown", "PostCSS", "HTML", "comment", "blank", "total"
"f:\SocialApp\src\pages\PostDetails.jsx", "JavaScript JSX", 0, 142, 0, 0, 0, 0, 0, 2, 17, 161
"f:\SocialApp\src\pages\Profile.jsx", "JavaScript JSX", 0, 22, 0, 0, 0, 0, 0, 0, 4, 26
"f:\SocialApp\src\pages\Signup.jsx", "JavaScript JSX", 0, 5, 0, 0, 0, 0, 0, 0, 3, 8
"f:\SocialApp\src\services\apiAuth.js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 2, 23, 96
"f:\SocialApp\src\services\apiComments.js", "JavaScript", 115, 0, 0, 0, 0, 0, 0, 5, 19, 139
"f:\SocialApp\src\services\apiLikes.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 7, 16, 103
"f:\SocialApp\src\services\apiMessages.js", "JavaScript", 169, 0, 0, 0, 0, 0, 0, 22, 37, 228
"f:\SocialApp\src\services\apiNotifications.js", "JavaScript", 92, 0, 0, 0, 0, 0, 0, 6, 21, 119
"f:\SocialApp\src\services\apiPosts.js", "JavaScript", 226, 0, 0, 0, 0, 0, 0, 8, 35, 269
"f:\SocialApp\src\services\apiPresence.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 4, 11, 62
"f:\SocialApp\src\services\apiReposts.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 4, 14, 82
"f:\SocialApp\src\services\apiStorage.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 24, 31, 117
"f:\SocialApp\src\services\apiStories.js", "JavaScript", 230, 0, 0, 0, 0, 0, 0, 22, 52, 304
"f:\SocialApp\src\services\apiUsers.js", "JavaScript", 163, 0, 0, 0, 0, 0, 0, 6, 39, 208
"f:\SocialApp\src\services\supabase.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 1, 4, 14
"f:\SocialApp\src\styles\GolobalStyles.js", "JavaScript", 203, 0, 0, 0, 0, 0, 0, 0, 3, 206
"f:\SocialApp\src\styles\index.css", "PostCSS", 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"f:\SocialApp\src\ui\AppLayout.jsx", "JavaScript JSX", 0, 82, 0, 0, 0, 0, 0, 0, 12, 94
"f:\SocialApp\src\ui\Avatar.jsx", "JavaScript JSX", 0, 30, 0, 0, 0, 0, 0, 0, 7, 37
"f:\SocialApp\src\ui\Badge.jsx", "JavaScript JSX", 0, 31, 0, 0, 0, 0, 0, 0, 5, 36
"f:\SocialApp\src\ui\Button.jsx", "JavaScript JSX", 0, 100, 0, 0, 0, 0, 0, 0, 6, 106
"f:\SocialApp\src\ui\ButtonIcon.jsx", "JavaScript JSX", 0, 53, 0, 0, 0, 0, 0, 0, 6, 59
